PCA1,PCA2,PCA3,cluster,name,title,id
-0.06983434472866017,0.010321242605356702,-0.04001102182501115,27,pittsburgh-american-community-survey-2015-miscellaneous-data,Pittsburgh American Community Survey 2015 - Miscellaneous Data,7401571a-9009-44d1-96ad-b7003221ec72
0.14939519420054553,-0.13084805312059616,0.14011862224370297,89,tiger-line-shapefile-2019-nation-u-s-current-metropolitan-statistical-area-micropolitan-statist,"TIGER/Line Shapefile, 2019,  nation, U.S., Current Metropolitan Statistical Area/Micropolitan Statistical Area (CBSA) National",26bae39e-d740-411c-b078-8f5d088dcbb1
0.14225500200688243,-0.05867835164722017,0.07130375069089284,27,citywide-payroll-data-fiscal-year,Citywide Payroll Data (Fiscal Year),69ec8980-70b3-4713-b623-a57e135f899d
0.012589456296446517,-0.03687588180740227,0.011487504085531617,27,metropolitan-area-look-up,Metropolitan Area Look-Up,fe912bcf-ffdb-4a34-8048-e8277cbc51e4
0.149395194200546,-0.13084805312059564,0.14011862224370275,89,tiger-line-shapefile-2020-nation-u-s-core-based-statistical-areas-cbsa,"TIGER/Line Shapefile, 2020, Nation, U.S., Core Based Statistical Areas (CBSA)",6abd8e7a-68b0-48dc-92dc-bc8e199a4314
-0.061244384273392204,0.040200684644455593,-0.046876776539213516,27,city-revenues-and-expenses,City Revenues and Expenses,13535abb-fab3-4544-ba7e-e1087b930105
0.1211314426871258,-0.022544283688871267,0.052593768609749986,27,veterans-equitable-resource-allocation-vera,Veterans Equitable Resource Allocation (VERA),07f37508-cbc1-4454-9ba2-00d1051f1632
-0.07228277595770788,0.010697844863659265,-0.04608730882976514,27,pittsburgh-american-community-survey-2014-miscellaneous-data,Pittsburgh American Community Survey 2014 - Miscellaneous Data,5a1d8a64-060c-4c54-becf-ff5e8ce5f8cc
-0.020707480553066423,0.004578521388769607,-0.016076174553779625,27,current-employee-names-salaries-and-position-titles,"Current Employee Names, Salaries, and Position Titles",5ec933b7-de0c-479a-8c0b-b4712b580e9c
0.003748191532367463,-0.03996860823614456,0.0033619186897177198,27,fair-market-rents-for-the-section-8-housing-assistance-payments-program,Fair Market Rents lookup tool,1d99bf07-7477-4351-a5c6-0debdf9b3485
-0.03776475001711092,0.012038058187503873,-0.018428371735098696,27,inventory-of-owned-and-leased-properties-iolp,Inventory of Owned and Leased Properties (IOLP),8f51a658-e9e2-4c93-ba15-7be91a95c29f
-0.05931010930884083,0.007869691687754714,-0.04234826526622592,27,national-highway-construction-cost-index-nhcci,National Highway Construction Cost Index (NHCCI),1026c8be-e672-4e5e-a497-da2744b4d6fd
0.03268316218167682,-0.029553959444185603,-0.0169733507169195,27,m-wbe-lbe-and-ebe-certified-business-list,SBS Certified Business List,25ed2062-ad2e-4fd9-95a8-ea8d467fe90e
0.10230556266131215,-0.03865382399356335,0.029597893192070013,27,characterization-factors-for-construction-material-epd-indicators-iso21930-lcia-us-v0-1,Characterization Factors for Construction Material EPD Indicators (ISO21930-LCIA-US) v0.1,430777c3-fd77-402f-8454-732c4bf8feb0
0.012360973356337516,-0.029736560650353287,-0.002234181440765767,27,sustainable-materials-management-smm-materials-and-waste-management-in-the-united-states-key-fa5,Sustainable Materials Management (SMM) - Materials and Waste Management in the United States Key Facts and Figures,4b8d3fd4-cfd5-4455-ac4a-49d46d9d0380
0.11071480632515955,-0.04040414404475152,0.006551191897986674,27,commercial-and-residential-hourly-load-profiles-for-all-tmy3-locations-in-the-united-state-bbc75,Commercial and Residential Hourly Load Profiles for all TMY3 Locations in the United States,ae8e1034-aa39-4664-b9a1-c2e51a549a00
-0.00938391691870412,-0.004029727355896356,0.002290581949147283,27,surgical-site-infections-ssis-for-operative-procedures-in-california-hospitals-a6bf6,Surgical Site Infections (SSIs) for Operative Procedures in California Hospitals,5b5e7ffa-4870-42d1-8ecc-692f1ebabeed
0.14629502558401353,-0.12333412088893206,0.16733832835306087,12,2022-cartographic-boundary-file-shp-current-census-tract-for-united-states-1-500000,"2022 Cartographic Boundary File (SHP), Current Census Tract for United States, 1:500,000",b89704aa-e36f-494f-8334-3b3649b24cc8
0.05820968186073196,-0.023636090855630298,-0.01896213189219703,27,u-s-monthly-climate-normals-1981-20101,U.S. Monthly Climate Normals (1981-2010),1720af69-4e85-4b5c-8ad0-d7aab20320ac
-0.056663834351673874,-0.013254802908967871,-0.016957820220368642,27,real-estate-sales-2001-2018,Real Estate Sales 2001-2021 GL,96811ca5-e32e-4f41-abca-dec4f07ffdff
-0.03925166311726519,-0.016097682542943394,-0.021622029260299196,27,college-scorecard-c25e9,College Scorecard,7463e789-0a7f-4878-b8b5-3d8822daf164
-0.09177054421870236,-0.018019935812635883,-0.03210529255610627,27,income-limits-by-county,Income Limits by County,e1220a84-4422-4baa-845c-d78f2e6a0715
0.1887619533656503,-0.06909634288132215,0.0748855669665463,22,large-scale-international-boundaries,Large Scale International Boundaries,bc535853-777f-4268-85d6-b8b9a641e2c6
0.09679624556977237,-0.05043642282355944,0.030212131443222556,27,quarterly-census-of-employment-and-wages-qcew-a6fea,Quarterly Census of Employment and Wages (QCEW),32d75c34-fc7a-4fd5-b3d5-e0f94c0436a0
0.08373879188562044,-0.04569178401844066,0.035561319064256657,27,forest-inventory-and-analysis-database-a9cd7,Forest Inventory and Analysis Database,8c11f6a3-cc63-4ea5-831e-448485c00d14
-0.013228974377680919,-0.05461438628006924,-0.03553232647899299,27,food-environment-atlas,Food Environment Atlas,84fdd390-cf70-4573-be10-12931680a838
